A,mu,sigma
3.387718905326387,4.329439095541465,1.1148249829935686
2.3508233697736043,4.312093501704056,0.8874292291828453
3.9999999999999982,4.606026813653778,0.5122071660809782
3.9999999999999982,4.606026813653778,0.5122071660809782
3.9999999998346754,4.499999999997074,0.42461893360078795
3.9999999998346754,4.499999999997074,0.42461893360078795
3.3756526757407084,4.614314289060184,0.6623446979501334
3.9999999998346754,4.499999999997074,0.42461893360078795
2.3508233697736043,4.312093501704056,0.8874292291828453
3.9999999998346754,4.499999999997074,0.42461893360078795
3.9999999999999982,4.606026813653778,0.5122071660809782
3.9999999998346754,4.499999999997074,0.42461893360078795
2.3508233697736043,4.312093501704056,0.8874292291828453
3.9999999998346754,4.499999999997074,0.42461893360078795
